RL vs MinimaxBeam training run started at 2025_12_06_00_35_56
Base weights: (8.0, 1.0, 3.0)
Depth=3, Beam=10, T=1.5s, LR=0.02, delta_clip=3.0, eps=0.05
Episodes: 1000

[SUMMARY] After 10 eps: RL wins=7, OPP wins=3, RL winrate=0.700, current weights=(8.22456587810643, 0.9601988888972688, 2.8425329998880895)
[SUMMARY] After 20 eps: RL wins=15, OPP wins=5, RL winrate=0.750, current weights=(8.392395852899575, 0.954591933321879, 2.7588884114208403)
[SUMMARY] After 30 eps: RL wins=22, OPP wins=8, RL winrate=0.733, current weights=(8.58899585701256, 0.9769035912224343, 2.75143588693649)
[SUMMARY] After 40 eps: RL wins=28, OPP wins=12, RL winrate=0.700, current weights=(8.737529783700147, 1.0282313849243085, 2.8236227254798543)
[SUMMARY] After 50 eps: RL wins=35, OPP wins=15, RL winrate=0.700, current weights=(8.882565029242315, 1.016358638164, 2.7140480341148683)
[SUMMARY] After 60 eps: RL wins=41, OPP wins=19, RL winrate=0.683, current weights=(9.000693628416212, 1.0437080678674113, 2.7057038002667997)
[SUMMARY] After 70 eps: RL wins=46, OPP wins=24, RL winrate=0.657, current weights=(9.134862935255757, 1.0668541647012593, 3.0169356931005824)
[SUMMARY] After 80 eps: RL wins=53, OPP wins=27, RL winrate=0.662, current weights=(9.314491340365773, 1.0865148087218017, 3.064929684751802)
[SUMMARY] After 90 eps: RL wins=62, OPP wins=28, RL winrate=0.689, current weights=(9.483616110781494, 1.045374497667986, 2.787962883670474)
[SUMMARY] After 100 eps: RL wins=68, OPP wins=32, RL winrate=0.680, current weights=(9.593170166677375, 1.0588830230535895, 2.6353239109814965)
[SUMMARY] After 110 eps: RL wins=73, OPP wins=37, RL winrate=0.664, current weights=(9.731230256064732, 1.0884420562691997, 2.752562599936373)
[SUMMARY] After 120 eps: RL wins=80, OPP wins=40, RL winrate=0.667, current weights=(9.812935278891082, 1.1051017986209666, 2.7383115093232115)
[SUMMARY] After 130 eps: RL wins=85, OPP wins=45, RL winrate=0.654, current weights=(9.868501625399002, 1.1329427981692974, 2.4629221055975243)
[SUMMARY] After 140 eps: RL wins=92, OPP wins=48, RL winrate=0.657, current weights=(9.97937272878075, 1.1307358762090323, 2.4822329879847294)
[SUMMARY] After 150 eps: RL wins=94, OPP wins=56, RL winrate=0.627, current weights=(10.0, 1.1965129181482872, 2.9246804158091053)
[SUMMARY] After 160 eps: RL wins=100, OPP wins=60, RL winrate=0.625, current weights=(10.0, 1.2536613095610656, 3.0412665760801842)
[SUMMARY] After 170 eps: RL wins=107, OPP wins=63, RL winrate=0.629, current weights=(10.0, 1.2518475935940703, 2.982077336862848)
[SUMMARY] After 180 eps: RL wins=112, OPP wins=68, RL winrate=0.622, current weights=(10.0, 1.346820740386515, 3.2810825081050603)
[SUMMARY] After 190 eps: RL wins=119, OPP wins=71, RL winrate=0.626, current weights=(10.0, 1.3799465370758675, 3.1223426538269594)
[SUMMARY] After 200 eps: RL wins=123, OPP wins=77, RL winrate=0.615, current weights=(9.999044030444573, 1.4339850972940196, 3.3513026040850944)
[SUMMARY] After 210 eps: RL wins=130, OPP wins=80, RL winrate=0.619, current weights=(10.0, 1.4222012404436866, 3.0374949242457308)
[SUMMARY] After 220 eps: RL wins=136, OPP wins=84, RL winrate=0.618, current weights=(10.0, 1.4703060653281272, 3.1006686607597005)
[SUMMARY] After 230 eps: RL wins=141, OPP wins=89, RL winrate=0.613, current weights=(10.0, 1.559637746944567, 3.296047025602725)
[SUMMARY] After 240 eps: RL wins=148, OPP wins=92, RL winrate=0.617, current weights=(10.0, 1.5763396661476712, 3.24942911856131)
[SUMMARY] After 250 eps: RL wins=154, OPP wins=96, RL winrate=0.616, current weights=(10.0, 1.5684214323551382, 3.1338866948404203)
[SUMMARY] After 260 eps: RL wins=160, OPP wins=100, RL winrate=0.615, current weights=(10.0, 1.5421984786466854, 2.9328718756802337)
[SUMMARY] After 270 eps: RL wins=166, OPP wins=104, RL winrate=0.615, current weights=(10.0, 1.5732085759334402, 2.9773673020545477)
[SUMMARY] After 280 eps: RL wins=171, OPP wins=109, RL winrate=0.611, current weights=(10.0, 1.6272398245329822, 3.249166327282427)
[SUMMARY] After 290 eps: RL wins=177, OPP wins=113, RL winrate=0.610, current weights=(9.991474020978888, 1.6612121744686714, 3.0592821767129315)
[SUMMARY] After 300 eps: RL wins=182, OPP wins=118, RL winrate=0.607, current weights=(10.0, 1.7112689543424722, 2.977306880552212)
[SUMMARY] After 310 eps: RL wins=187, OPP wins=123, RL winrate=0.603, current weights=(10.0, 1.7230393234031571, 3.0712376127973844)
[SUMMARY] After 320 eps: RL wins=193, OPP wins=127, RL winrate=0.603, current weights=(10.0, 1.7526320451137272, 3.0994005565773177)
[SUMMARY] After 330 eps: RL wins=199, OPP wins=131, RL winrate=0.603, current weights=(10.0, 1.770934037947004, 3.104866716343328)
[SUMMARY] After 340 eps: RL wins=203, OPP wins=137, RL winrate=0.597, current weights=(10.0, 1.8528179703740264, 3.338821495162446)
[SUMMARY] After 350 eps: RL wins=210, OPP wins=140, RL winrate=0.600, current weights=(10.0, 1.8816792228867656, 3.2835266660222864)
[SUMMARY] After 360 eps: RL wins=216, OPP wins=144, RL winrate=0.600, current weights=(10.0, 1.9056896283172904, 3.257324994554767)
[SUMMARY] After 370 eps: RL wins=222, OPP wins=148, RL winrate=0.600, current weights=(10.0, 1.9288613482255843, 3.1957607866623055)
[SUMMARY] After 380 eps: RL wins=229, OPP wins=151, RL winrate=0.603, current weights=(10.0, 1.9199422167287818, 3.0172097980577415)
[SUMMARY] After 390 eps: RL wins=233, OPP wins=157, RL winrate=0.597, current weights=(10.0, 1.9833135550111232, 3.100613946871586)
[SUMMARY] After 400 eps: RL wins=239, OPP wins=161, RL winrate=0.598, current weights=(10.0, 1.9995320354790063, 3.117688275841528)
[SUMMARY] After 410 eps: RL wins=243, OPP wins=167, RL winrate=0.593, current weights=(10.0, 2.0492925639996296, 3.359256093593868)
[SUMMARY] After 420 eps: RL wins=250, OPP wins=170, RL winrate=0.595, current weights=(10.0, 2.041540320876237, 3.2298601357288295)
[SUMMARY] After 430 eps: RL wins=254, OPP wins=176, RL winrate=0.591, current weights=(10.0, 2.074060024277218, 3.350839349112224)
[SUMMARY] After 440 eps: RL wins=261, OPP wins=179, RL winrate=0.593, current weights=(10.0, 2.055105203950373, 3.2162977481164035)
[SUMMARY] After 450 eps: RL wins=267, OPP wins=183, RL winrate=0.593, current weights=(9.996402911876036, 2.10213916996142, 3.229962061964198)
[SUMMARY] After 460 eps: RL wins=275, OPP wins=185, RL winrate=0.598, current weights=(10.0, 2.0459526379152644, 2.779429215337437)
[SUMMARY] After 470 eps: RL wins=281, OPP wins=189, RL winrate=0.598, current weights=(10.0, 2.0193025373411966, 2.597664973838611)
[SUMMARY] After 480 eps: RL wins=285, OPP wins=195, RL winrate=0.594, current weights=(10.0, 2.050015341779165, 2.673876393325222)
[SUMMARY] After 490 eps: RL wins=290, OPP wins=200, RL winrate=0.592, current weights=(10.0, 2.093142826092298, 2.819228329790291)
[SUMMARY] After 500 eps: RL wins=294, OPP wins=206, RL winrate=0.588, current weights=(10.0, 2.1447888079472217, 2.9779182080368995)
[SUMMARY] After 510 eps: RL wins=300, OPP wins=210, RL winrate=0.588, current weights=(10.0, 2.1975884674848674, 3.019767327432478)
[SUMMARY] After 520 eps: RL wins=306, OPP wins=214, RL winrate=0.588, current weights=(10.0, 2.1955514644126564, 2.957529803531235)
[SUMMARY] After 530 eps: RL wins=314, OPP wins=216, RL winrate=0.592, current weights=(10.0, 2.1804985763346254, 2.8209643441830297)
[SUMMARY] After 540 eps: RL wins=321, OPP wins=219, RL winrate=0.594, current weights=(10.0, 2.1508084378237617, 2.712523256820266)
[SUMMARY] After 550 eps: RL wins=327, OPP wins=223, RL winrate=0.595, current weights=(10.0, 2.204204357662287, 2.855586228081056)
[SUMMARY] After 560 eps: RL wins=333, OPP wins=227, RL winrate=0.595, current weights=(10.0, 2.2484675685217494, 2.8660065375532664)
[SUMMARY] After 570 eps: RL wins=339, OPP wins=231, RL winrate=0.595, current weights=(10.0, 2.2703345905588668, 2.7821880260504077)
[SUMMARY] After 580 eps: RL wins=345, OPP wins=235, RL winrate=0.595, current weights=(10.0, 2.301327777696203, 2.9010941178207905)
[SUMMARY] After 590 eps: RL wins=353, OPP wins=237, RL winrate=0.598, current weights=(10.0, 2.2788165921962413, 2.8635152140933355)
[SUMMARY] After 600 eps: RL wins=358, OPP wins=242, RL winrate=0.597, current weights=(10.0, 2.3537889174073663, 3.1063103253265063)
[SUMMARY] After 610 eps: RL wins=363, OPP wins=247, RL winrate=0.595, current weights=(10.0, 2.4016604231950254, 3.118058974719466)
[SUMMARY] After 620 eps: RL wins=370, OPP wins=250, RL winrate=0.597, current weights=(10.0, 2.424214802397181, 3.110350437542078)
[SUMMARY] After 630 eps: RL wins=374, OPP wins=256, RL winrate=0.594, current weights=(10.0, 2.4729444643907916, 3.3235484764659726)
[SUMMARY] After 640 eps: RL wins=379, OPP wins=261, RL winrate=0.592, current weights=(10.0, 2.472753105089108, 3.295512720758244)
[SUMMARY] After 650 eps: RL wins=386, OPP wins=264, RL winrate=0.594, current weights=(10.0, 2.4612200323129585, 3.140054536812003)
[SUMMARY] After 660 eps: RL wins=391, OPP wins=269, RL winrate=0.592, current weights=(10.0, 2.5213328924296565, 3.1939340568908214)
[SUMMARY] After 670 eps: RL wins=397, OPP wins=273, RL winrate=0.593, current weights=(10.0, 2.5336906052118557, 3.058018297595894)
[SUMMARY] After 680 eps: RL wins=403, OPP wins=277, RL winrate=0.593, current weights=(10.0, 2.5555820087682406, 2.792179189037304)
[SUMMARY] After 690 eps: RL wins=411, OPP wins=279, RL winrate=0.596, current weights=(9.989237808513039, 2.5171753523702627, 2.5416906260376972)
[SUMMARY] After 700 eps: RL wins=418, OPP wins=282, RL winrate=0.597, current weights=(10.0, 2.489631658001609, 2.417010475170968)
[SUMMARY] After 710 eps: RL wins=424, OPP wins=286, RL winrate=0.597, current weights=(10.0, 2.4787152737044336, 2.361460781898008)
[SUMMARY] After 720 eps: RL wins=431, OPP wins=289, RL winrate=0.599, current weights=(10.0, 2.4496583186535297, 2.2386818384582408)
[SUMMARY] After 730 eps: RL wins=439, OPP wins=291, RL winrate=0.601, current weights=(10.0, 2.4309950655978962, 2.0614318809075107)
[SUMMARY] After 740 eps: RL wins=446, OPP wins=294, RL winrate=0.603, current weights=(10.0, 2.4647273869104858, 2.238807345578668)
[SUMMARY] After 750 eps: RL wins=452, OPP wins=298, RL winrate=0.603, current weights=(10.0, 2.5160268721492027, 2.4319613269180422)
[SUMMARY] After 760 eps: RL wins=459, OPP wins=301, RL winrate=0.604, current weights=(10.0, 2.526739635093094, 2.2952952831552915)
[SUMMARY] After 770 eps: RL wins=461, OPP wins=309, RL winrate=0.599, current weights=(10.0, 2.5949656848945652, 2.707589066159362)
[SUMMARY] After 780 eps: RL wins=466, OPP wins=314, RL winrate=0.597, current weights=(10.0, 2.6180325656859065, 2.704961195088142)
[SUMMARY] After 790 eps: RL wins=471, OPP wins=319, RL winrate=0.596, current weights=(10.0, 2.6993627983235493, 2.957632802909605)
[SUMMARY] After 800 eps: RL wins=476, OPP wins=324, RL winrate=0.595, current weights=(10.0, 2.7186806004906092, 2.9353012784224433)
[SUMMARY] After 810 eps: RL wins=481, OPP wins=329, RL winrate=0.594, current weights=(10.0, 2.765478875666528, 3.1091164888265426)
[SUMMARY] After 820 eps: RL wins=490, OPP wins=330, RL winrate=0.598, current weights=(10.0, 2.724200150319525, 2.723220832461243)
[SUMMARY] After 830 eps: RL wins=497, OPP wins=333, RL winrate=0.599, current weights=(9.995112894037026, 2.727854314053478, 2.4988112510572353)
